report_id,source,source_type,sif_potential_weak_label,label_basis,date,country,function,cause,activity,primary_life_saving_rule,secondary_life_saving_rule,narrative,what_went_wrong,corrective_actions,causal_factors,model_input
IOGP-HPE-2025-050,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,20 Sep 2025,Oman,Drilling,Dropped objects,"Lifting, crane, rigging, deck operations",Safe mechanical lifting,Line of fire,"During space-out of the traveling block to function-test the power tong, the Driller hoisted the traveling block with the working string. When the string was about 2 meters above the rig floor, the Driller applied the brake. At that moment, the traveling block and working string suddenly moved down to the rig floor. Work string landed on the slip and travelling block stopped moving where the brake was activated.","1. Roustabout washed the draw-works with diesel and Jet cleaner without recognizing the hazards of contamination of the Draw-work system which could cause loss of brake friction and inconsistent contact with brake Rim. 2. The Driller did not supervise RA on how to clean the draw work to avoid any contamination and decided to leave him alone. 3. No SOP or work instruction available for cleaning the draw works / brake rim, leading to use of unauthorized cleaning material.","1. Update and revise JSA, SOP for cleaning in critical hoist equipment. 2. Ensure Regular competency is conducted to crew to Enhance Awareness and alertness. 3. Always maintain safe distance for space-out and retain mitigated plan for unexpected event while testing and restart after repair. 4. Ensure controlled load test, no load must be attached to hoisting system while testing the system","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate supervision MIDDLE EAST ONSHORE 47","NARRATIVE: During space-out of the traveling block to function-test the power tong, the Driller hoisted the traveling block with the working string. When the string was about 2 meters above the rig floor, the Driller applied the brake. At that moment, the traveling block and working string suddenly moved down to the rig floor. Work string landed on the slip and travelling block stopped moving where the brake was activated. | WHAT WENT WRONG: 1. Roustabout washed the draw-works with diesel and Jet cleaner without recognizing the hazards of contamination of the Draw-work system which could cause loss of brake friction and inconsistent contact with brake Rim. 2. The Driller did not supervise RA on how to clean the draw work to avoid any contamination and decided to leave him alone. 3. No SOP or work instruction available for cleaning the draw works / brake rim, leading to use of unauthorized cleaning material. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate supervision MIDDLE EAST ONSHORE 47"
IOGP-HPE-2025-051,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,08 Apr 2025,Qatar,Production,Pressure release,"Maintenance, inspection, testing",Energy isolation,Line of fire,"A contractor mechanical field service representative and mechanical team had disconnected the export gas compressor gas turbine’s primary and secondary flexible fuel gas hoses. After disconnecting the hoses, the contractor field service representative was on the back side of the gas turbine while the mechanical technicians were on the front side. While lying beneath the gas turbine to check the water wash drain tube under the gas turbine, pressure was released, causing the loose hoses to swing.","One of the loose hoses struck the helmet of the mechanical field service representative, resulting in physical damage to the helmet.","• Trapped pressure must always be safely discharged before disconnecting components, even when the system appears isolated - especially in high-pressure gas systems. • Contractor activities must be fully integrated into company isolation procedures, including proper documentation in Process Isolation Certificates, to avoid oversight of critical steps. • Safe Work Method Statements (SWMS) must include detailed, step-by-step instructions, particularly for non- routine tasks, to ensure consistent understanding and execution. • Non-routine activities require Task Risk Assessments (TRA) regardless of pressure levels or perceived risk, as they often involve unexpected hazards. • System manipulations (e.g., Programmable Logic Controller forcing) must not occur without coordination and approval from the Area Authority, and only after confirming all personnel are in safe positions.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Servicing of energized equipment/inadequate energy isolation PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures MIDDLE EAST ONSHORE 48","NARRATIVE: A contractor mechanical field service representative and mechanical team had disconnected the export gas compressor gas turbine’s primary and secondary flexible fuel gas hoses. After disconnecting the hoses, the contractor field service representative was on the back side of the gas turbine while the mechanical technicians were on the front side. While lying beneath the gas turbine to check the water wash drain tube under the gas turbine, pressure was released, causing the loose hoses to swing. | WHAT WENT WRONG: One of the loose hoses struck the helmet of the mechanical field service representative, resulting in physical damage to the helmet. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Servicing of energized equipment/inadequate energy isolation PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures MIDDLE EAST ONSHORE 48"
IOGP-HPE-2025-052,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,22 Nov 2025,Qatar,Production,Struck by (not dropped object),Production operations,Driving,Line of fire,Company pickup truck collided with a concrete barrier at a diversion point.,"The pick-up deflected into the opposite lane and debris from the barrier struck a company bus, shattering the left- side window. Following the accident, the Involved Person (IP) was taken for a medical assessment to check for any internal injuries. The assessment confirmed that the IP sustained no injuries.",• Drive carefully and maintain situational awareness. • Manage fatigue before driving. • Exercise extra caution on roads with temporary diversions. • Avoid overtaking or speeding near large vehicles. • Overtake only from designated lanes.,PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Work or motion at improper speed PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PEOPLE (ACTS): Inattention/Lack of Awareness: Lack of attention/distracted by other concerns/stress PEOPLE (ACTS): Inattention/Lack of Awareness: Fatigue MIDDLE EAST ONSHORE 49,"NARRATIVE: Company pickup truck collided with a concrete barrier at a diversion point. | WHAT WENT WRONG: The pick-up deflected into the opposite lane and debris from the barrier struck a company bus, shattering the left- side window. Following the accident, the Involved Person (IP) was taken for a medical assessment to check for any internal injuries. The assessment confirmed that the IP sustained no injuries. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Work or motion at improper speed PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PEOPLE (ACTS): Inattention/Lack of Awareness: Lack of attention/distracted by other concerns/stress PEOPLE (ACTS): Inattention/Lack of Awareness: Fatigue MIDDLE EAST ONSHORE 49"
IOGP-HPE-2025-053,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,22 Mar 2025,Qatar,Construction,Dropped objects,"Construction, commissioning, decommissioning",Working at height,Line of fire,A steel structure crew was modifying a permanent grating platform handrail when a crowbar (weight approximately 0.72kg) fell from the platform (height 20 metres) and landed on the ground below in an unbarricaded area. No person injury occurred or was reported.,• The crowbar was not secured with a tool lanyard. • The task Supervisor failed to identify the tool was not secured with a tool lanyard. • Inadequate guard/barriers: Failure to provide an exclusion zone at ground level for dropped / falling objects,"• Always ensure materials, tools, equipment and other loose objects are firmly secured when working at height. • Conduct a focused inspection to verify the use of tool lanyards at elevated work locations. • Always maintain hard barricades with adequate exclusion zones when working at height/elevated areas. • The Supervisor must remain vigilant and intervene to prevent shortcuts.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/ materials/products PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 50","NARRATIVE: A steel structure crew was modifying a permanent grating platform handrail when a crowbar (weight approximately 0.72kg) fell from the platform (height 20 metres) and landed on the ground below in an unbarricaded area. No person injury occurred or was reported. | WHAT WENT WRONG: • The crowbar was not secured with a tool lanyard. • The task Supervisor failed to identify the tool was not secured with a tool lanyard. • Inadequate guard/barriers: Failure to provide an exclusion zone at ground level for dropped / falling objects | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/ materials/products PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 50"
IOGP-HPE-2025-054,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,24 Mar 2025,Qatar,Construction,Dropped objects,"Construction, commissioning, decommissioning",Line of fire,Bypassing safety controls,"A gate door (two sections) of the Blasting Shop toppled over due to strong winds (approximately 16m/s). Each door section measures 7.5m x 4m and weighs approx. 425kg. They landed on the ground and came to rest on a pipe stand, resulting in damage to the cladding and frame. The incident occurred next to a pedestrian walkway, but no personnel were in the vicinity at the time. No personal Injury was reported","• The door gates had opening and closing issues due to the wheel design, requiring a forklift to lift them slightly during use. • The gate did not match the design drawings as it had an insufficient number of hinges compared to the original design. • The necessary actions were not taken to address the inspection findings, including damaged hinges and inadequate lubrication.","• Follow approved design drawings and specifications to maintain integrity and ensure safety of gates. • Ensure that a quality inspection for weld hinges is conducted on all gates. • Ensure that regular inspection and maintenance, including lubrication, are conducted for all gates. • The operational manual for gates shall be provided and included into the Job Safety Analysis (JSA). • All gates to be operated within the design limits by trained personnel to prevent damage of gates/hinges. • Ensure that gates to blasting and painting bays are open during heavy winds to allow for unobstructed airflow. • During windy conditions, all movable objects/equipment/tools should be properly secured/stored","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management of change PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing PROCESS (CONDITIONS): Work Place Hazards: Storms or acts of nature PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Failure to report/learn from events MIDDLE EAST ONSHORE 51","NARRATIVE: A gate door (two sections) of the Blasting Shop toppled over due to strong winds (approximately 16m/s). Each door section measures 7.5m x 4m and weighs approx. 425kg. They landed on the ground and came to rest on a pipe stand, resulting in damage to the cladding and frame. The incident occurred next to a pedestrian walkway, but no personnel were in the vicinity at the time. No personal Injury was reported | WHAT WENT WRONG: • The door gates had opening and closing issues due to the wheel design, requiring a forklift to lift them slightly during use. • The gate did not match the design drawings as it had an insufficient number of hinges compared to the original design. • The necessary actions were not taken to address the inspection findings, including damaged hinges and inadequate lubrication. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management of change PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing PROCESS (CONDITIONS): Work Place Hazards: Storms or acts of nature PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Failure to report/learn from events MIDDLE EAST ONSHORE 51"
IOGP-HPE-2025-055,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,19 Mar 2025,Qatar,Construction,Dropped objects,Transport - Land,Bypassing safety controls,Line of fire,"A trailer driver was transporting six concrete barriers (3.5t each) on a flatbed trailer. The barriers were stacked in two rows (three in each row), with one cargo lashing belt securing two concrete barriers each. While the trailer was travelling on the bumpy road, the driver noticed that one of the lashing belts securing the rear concrete barriers had broken, causing the load to shift slightly towards the edge of the trailer. He pulled over to address the situation. Fortunately, no injuries or damage occurred.",• The concrete barriers were loaded onto the truck without appropriate measures in place - no dunnage was used and there was inadequate load restraint. • The driver used improvised lashing belts without proper inspection. One of these improvised belts broke during transportation on the bumpy road. • The driver did not recognise the risk of using defective and improvised lashing belts.,"• Always ensure all loads are properly loaded and restrained in accordance with appropriate lashing protocols to prevent them from shifting during transportation. • Always use additional support systems like rubber mats and/or dunnage to increase the clamp down effect (friction between the load and the trailer surface) to prevent the load from shifting. • Always ensure loading crews and driver clearly understand the importance of the pre-trip Inspection – lashing belts and tools must be thoroughly inspected for wear, damage, and suitability before departure. Early detection of weakened or compromised equipment can prevent incidents. • Always ensure corrective actions are implemented at the earliest opportunity to prevent recurrence of similar incidents/accidents – there was a similar incident three months earlier.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/ materials/products PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing PROCESS (CONDITIONS): Work Place Hazards: Inadequate surfaces, floors, walkways or roads PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 52","NARRATIVE: A trailer driver was transporting six concrete barriers (3.5t each) on a flatbed trailer. The barriers were stacked in two rows (three in each row), with one cargo lashing belt securing two concrete barriers each. While the trailer was travelling on the bumpy road, the driver noticed that one of the lashing belts securing the rear concrete barriers had broken, causing the load to shift slightly towards the edge of the trailer. He pulled over to address the situation. Fortunately, no injuries or damage occurred. | WHAT WENT WRONG: • The concrete barriers were loaded onto the truck without appropriate measures in place - no dunnage was used and there was inadequate load restraint. • The driver used improvised lashing belts without proper inspection. One of these improvised belts broke during transportation on the bumpy road. • The driver did not recognise the risk of using defective and improvised lashing belts. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/ materials/products PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing PROCESS (CONDITIONS): Work Place Hazards: Inadequate surfaces, floors, walkways or roads PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 52"
IOGP-HPE-2025-056,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,07 Sep 2025,Qatar,Construction,Exposure electrical,"Construction, commissioning, decommissioning",Energy isolation,Line of fire,"During welding activities, the fire watch for the naked flame activity received an electrical shock when attempting to shift an electrical welding rod oven.","The fire watch, henceforth referred to as the injured person (IP), collapsed after receiving the shock, and the Emergency Response Team was called. The IP was transferred to Hospital for further evaluation. At the hospital, the IP’s vital signs were checked again, and an electrocardiogram (ECG) was performed. All results were normal and the IP was discharged without needing additional medical treatment.",• Ensure proper electrical grounding. • Verify electrical protection systems before work. • Define roles and responsibilities clearly. • Include electrical hazards in Task Risk Assessments (TRA).,"PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PEOPLE (ACTS): Use of Protective Methods: Inadequate use of safety systems PEOPLE (ACTS): Use of Protective Methods: Disabled or removed guards, warning systems or safety devices PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 53","NARRATIVE: During welding activities, the fire watch for the naked flame activity received an electrical shock when attempting to shift an electrical welding rod oven. | WHAT WENT WRONG: The fire watch, henceforth referred to as the injured person (IP), collapsed after receiving the shock, and the Emergency Response Team was called. The IP was transferred to Hospital for further evaluation. At the hospital, the IP’s vital signs were checked again, and an electrocardiogram (ECG) was performed. All results were normal and the IP was discharged without needing additional medical treatment. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PEOPLE (ACTS): Use of Protective Methods: Inadequate use of safety systems PEOPLE (ACTS): Use of Protective Methods: Disabled or removed guards, warning systems or safety devices PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 53"
IOGP-HPE-2025-057,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,01 Jun 2025,Qatar,Construction,Pressure release,"Lifting, crane, rigging, deck operations",Line of fire,Bypassing safety controls,"A telehandler operator was moving a 714kg pipe spool when he observed a trailer blocking his access. The operator pulled the telehandler over to the side waiting for the trailer to move away. When the trailer moved, the operator started to reverse the telehandler. After reversing approximately 2 metres, the front right tyre of the telehandler failed and exploded. The release of pressure ejected the tyre 7 metres away from the telehandler. The primary locking rim (weight 19.3kg) and the secondary locking rim (weight 2.3kg) were ejected from the split rim, causing the primary locking rim to land 50 metres away and the secondary locking rim to land 70 metres away. No injuries were reported. The Flagman and Rigger were positioned behind the telehandler approximately 5 metres away.","• Incorrect installation and assembly of tyre/wheel rim. • During manoeuvring, the load could have potentially shifted to the right side of the forks due to incorrect securing of the pipe spool. • Over-pressure within the tyre (pinch resulting in the failure of the tyre innertube). • The daily telehandler checklist does not include tyre condition or tyre pressure. Three tyres were found to be new, and one tyre was damaged.",• Equipment operators should be provided with tyre pressure gauges to ensure adequate tyre pressure. • Improvement of daily checklists with option of multiple languages and requirement of checking tyre pressures. • On-the-Job Training (OJT) on tyre pressures/condition and the use of gauges to be provided to all equipment operators. • OJT training video to be prepared to demonstrate the correct installation method of tyre and rims. To be shown to all Plant Maintenance & Vehicle (PMV) team members who are assigned the task of changing tyres. • All subcontractors PMV groups to identify and physically check all vehicles and equipment on the project that are fitted with split rim wheels. Any vehicle that is identified as having incorrectly fitted spilt rims or misaligned parts should be taken out of service until rectified.,"PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/ materials/products PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 54","NARRATIVE: A telehandler operator was moving a 714kg pipe spool when he observed a trailer blocking his access. The operator pulled the telehandler over to the side waiting for the trailer to move away. When the trailer moved, the operator started to reverse the telehandler. After reversing approximately 2 metres, the front right tyre of the telehandler failed and exploded. The release of pressure ejected the tyre 7 metres away from the telehandler. The primary locking rim (weight 19.3kg) and the secondary locking rim (weight 2.3kg) were ejected from the split rim, causing the primary locking rim to land 50 metres away and the secondary locking rim to land 70 metres away. No injuries were reported. The Flagman and Rigger were positioned behind the telehandler approximately 5 metres away. | WHAT WENT WRONG: • Incorrect installation and assembly of tyre/wheel rim. • During manoeuvring, the load could have potentially shifted to the right side of the forks due to incorrect securing of the pipe spool. • Over-pressure within the tyre (pinch resulting in the failure of the tyre innertube). • The daily telehandler checklist does not include tyre condition or tyre pressure. Three tyres were found to be new, and one tyre was damaged. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/ materials/products PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 54"
IOGP-HPE-2025-058,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,11 Jan 2025,Qatar,Construction,Struck by (not dropped object),"Lifting, crane, rigging, deck operations",Safe mechanical lifting,Line of fire,"An 800-ton crawler crane and a 280-ton crawler crane had concluded lifting operations and were idle. A civil crew requested the 800-ton crane operator to reposition the hook so they could avoid working under it. While slewing, the boom tip section of the 800-ton crawler crane contacted the wire rope of the stationary 280-ton crawler crane. The crane was operating within a barricaded area. No visible damage was found on both crawler cranes, and there were no injuries","• The 800-ton crane operator slewed the crane without the presence of the rigging crew or Signalman. • The 800-ton crane operator failed to identify the obstruction on the slewing path (the 280-ton crane boom positioned over the pipe rack). • Failure to develop and implement a formal process or procedure to manage simultaneous crane operations. • Lack of communication - the 280-ton crane was mobilised with its luffing boom extended approximately 6 metres over the pipe rack into the 800-ton crane’s work area, without coordination.","• Always maintain proper coordination with nearby lifting groups when operating cranes near other activities. • Never slew or reposition a crane without a Signalman’s assistance. • Implement a formal Simultaneous Operations (SIMOPS) procedure to safely manage multi-crane operations. • Conduct a pre-lift LMRA to identify potential obstructions in the crane's path. • Ensure clear and effective communication between crane operators, rigging crews, and other involved teams.",PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate communication MIDDLE EAST ONSHORE 55,"NARRATIVE: An 800-ton crawler crane and a 280-ton crawler crane had concluded lifting operations and were idle. A civil crew requested the 800-ton crane operator to reposition the hook so they could avoid working under it. While slewing, the boom tip section of the 800-ton crawler crane contacted the wire rope of the stationary 280-ton crawler crane. The crane was operating within a barricaded area. No visible damage was found on both crawler cranes, and there were no injuries | WHAT WENT WRONG: • The 800-ton crane operator slewed the crane without the presence of the rigging crew or Signalman. • The 800-ton crane operator failed to identify the obstruction on the slewing path (the 280-ton crane boom positioned over the pipe rack). • Failure to develop and implement a formal process or procedure to manage simultaneous crane operations. • Lack of communication - the 280-ton crane was mobilised with its luffing boom extended approximately 6 metres over the pipe rack into the 800-ton crane’s work area, without coordination. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate communication MIDDLE EAST ONSHORE 55"
IOGP-HPE-2025-059,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,15 Jul 2025,UAE,Drilling,Dropped objects,"Drilling, workover, well operations",Work authorization,Line of fire,"While a Wellhead Engineer was installing a side outlet valve at the wellhead deck, a Floor Man was preparing downhole guides on the upper deck level, but one down hole guide clamp, weighing 7 kg, slipped and dropped through open hatch and hit the right middle side of the hard hat above the brim and landed in the grating, causing the IP to fall on to the grating resulting in bruises to his right forehead and injury to his right knee.","• Inadequate identification of job hazard: The hazards of open hatch, simultaneous operation, drop hazards and its control measures are not captured in the Job Safety Analysis. • Inadequate communication between work groups: Toolbox meeting was not conducted between the service company and the Drilling rig crew who are working in the same area. • Improper handling of materials: The guide and clamps stored close to the open hatch, not considering or protecting against the danger of falling objects. • Inadequate enforcement of PTW: Permit to work was not approved before the start of the work, revalidation of permit was not followed when job performer changed.","• Review Job Safety Analysis / Risk assessment to include all steps, hazards and controls, with focus on the hazards of simultaneous works, drop objects and line of fire and revise accordingly. • Ensure proper communication is carried out between work groups and with each work team by coordinating with different disciplines prior to start. • Supervisors to ensure that openings are protected with barricades and toe boards to prevent falling objects. Also, to conduct walk around to identify loose objects and avoid work near openings. • Ensure that rig crew are conducting campaigns on “Working at heights & dropped objects” elaborating on risk assessment and situational awareness by carrying out weekly site inspections/ verification. • Conduct Ad-hoc PTW inspection/ verification walk through spotlighting PTW compliance and hazards of simultaneous works.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 56","NARRATIVE: While a Wellhead Engineer was installing a side outlet valve at the wellhead deck, a Floor Man was preparing downhole guides on the upper deck level, but one down hole guide clamp, weighing 7 kg, slipped and dropped through open hatch and hit the right middle side of the hard hat above the brim and landed in the grating, causing the IP to fall on to the grating resulting in bruises to his right forehead and injury to his right knee. | WHAT WENT WRONG: • Inadequate identification of job hazard: The hazards of open hatch, simultaneous operation, drop hazards and its control measures are not captured in the Job Safety Analysis. • Inadequate communication between work groups: Toolbox meeting was not conducted between the service company and the Drilling rig crew who are working in the same area. • Improper handling of materials: The guide and clamps stored close to the open hatch, not considering or protecting against the danger of falling objects. • Inadequate enforcement of PTW: Permit to work was not approved before the start of the work, revalidation of permit was not followed when job performer changed. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment MIDDLE EAST ONSHORE 56"
