synthetic_report_id,person_id,worker_role,report_date,site,report_type,activity,hazard,life_saving_rule,precursor_or_barrier_issue,potential_consequence,sif_potential,report_text,data_origin
SYN-OIL-086,EMP-1086,Field Engineer,2025-02-04,Drilling Site,Near Miss,Lifting,Suspended load,Line of Fire,Exclusion zone breach,Crush injury,YES,Worker entered lifting exclusion zone while a suspended load was moving. Observation reported by a field engineer during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-087,EMP-1087,Supervisor,2025-12-14,Digboi Refinery,Unsafe Condition,Confined Space Entry,Toxic/oxygen-deficient atmosphere,Confined Space,Gas testing failure,Asphyxiation,YES,Confined-space entry began before atmospheric testing was completed. Observation reported by a supervisor during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-088,EMP-1088,Maintenance Worker,2024-07-23,Pipeline Station,Near Miss,Hot Work,Flammable vapour,Hot Work,Gas testing failure,Fire/explosion,YES,Hot work began near a hydrocarbon line without confirming gas-free conditions. Observation reported by a maintenance worker during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-089,EMP-1089,Supervisor,2024-07-09,Duliajan Field,Unsafe Act,Work at Height,Fall from height,Working at Height,Fall protection failure,Fatal fall,YES,Technician worked at height with an improperly connected fall-arrest lanyard. Observation reported by a supervisor during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-090,EMP-1090,Maintenance Worker,2025-08-29,Duliajan Field,Near Miss,Maintenance,Stored pressure,Energy Isolation,Pressure containment concern,High-pressure injection injury,YES,Operator noticed hydraulic leakage near pressurized equipment and stopped the job. Observation reported by a maintenance worker during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-091,EMP-1091,Supervisor,2025-04-06,Moran Field,Near Miss,Material Handling,Vehicle movement,Line of Fire,Pedestrian segregation failure,Fatal struck-by injury,YES,Forklift reversed in a marked pedestrian zone; worker stepped away before contact. Observation reported by a supervisor during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-092,EMP-1092,Operator,2024-03-14,Pipeline Station,Unsafe Condition,Inspection,Slip/environmental hazard,None/Other,Housekeeping issue,Minor slip or spill impact,NO,Small oil spill was observed inside a bund and was contained before reaching drainage. Observation reported by a operator during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-093,EMP-1093,Technician,2024-07-01,Duliajan Field,Unsafe Act,Warehouse Handling,Minor hand contact,Personal Protective Equipment,PPE non-compliance,Minor hand injury,NO,Worker was found without safety gloves while handling non-hazardous packaging. Observation reported by a technician during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-094,EMP-1094,Maintenance Worker,2025-05-06,Digboi Refinery,Unsafe Condition,Inspection,Low-severity maintenance issue,None/Other,Housekeeping issue,Minor injury unlikely,NO,Loose handrail paint was observed on an access staircase with no structural damage. Observation reported by a maintenance worker during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-095,EMP-1095,Supervisor,2025-10-18,Gas Processing Unit,Incident,Routine Maintenance,Hand tool,None/Other,Tool selection issue,Minor hand injury,NO,"A technician used the wrong wrench size, causing a small hand pinch with no lost time. Observation reported by a supervisor during operations at Gas Processing Unit.",SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-096,EMP-1096,Maintenance Worker,2025-12-16,Gas Processing Unit,Unsafe Condition,Housekeeping,Emergency egress obstruction,Work Authorization,Emergency access obstruction,Delayed evacuation,YES,Emergency exit access was partially blocked by temporary material. Observation reported by a maintenance worker during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-097,EMP-1097,Operator,2024-04-16,Moran Field,Unsafe Act,Maintenance,Electrical energy,Energy Isolation,Isolation verification failure,Electrocution,YES,Pump maintenance started before electrical isolation was verified. Observation reported by a operator during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-098,EMP-1098,Field Engineer,2026-02-08,Drilling Site,Near Miss,Lifting,Suspended load,Line of Fire,Exclusion zone breach,Crush injury,YES,Worker entered lifting exclusion zone while a suspended load was moving. Observation reported by a field engineer during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-099,EMP-1099,Technician,2026-02-11,Digboi Refinery,Unsafe Condition,Confined Space Entry,Toxic/oxygen-deficient atmosphere,Confined Space,Gas testing failure,Asphyxiation,YES,Confined-space entry began before atmospheric testing was completed. Observation reported by a technician during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-100,EMP-1100,Contractor,2024-07-30,Pipeline Station,Near Miss,Hot Work,Flammable vapour,Hot Work,Gas testing failure,Fire/explosion,YES,Hot work began near a hydrocarbon line without confirming gas-free conditions. Observation reported by a contractor during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
